TIME: 2025-04-11T00:22:53Z | ALT: 29122 ft | SPD: 475 kt | TEMP: -39 C | FUEL: 85.6%
TIME: 2025-04-11T00:22:53Z | ALT: 36243 ft | SPD: 466 kt | TEMP: -40 C | FUEL: 56.9%
TIME: 2025-04-11T00:22:53Z | ALT: 35532 ft | SPD: 471 kt | TEMP: -52 C | FUEL: 87.9%
TIME: 2025-04-11T00:22:53Z | ALT: 30118 ft | SPD: 425 kt | TEMP: -38 C | FUEL: 77.9%
TIME: 2025-04-11T00:22:53Z | ALT: 30190 ft | SPD: 449 kt | TEMP: -31 C | FUEL: 71.7%
TIME: 2025-04-11T00:22:53Z | ALT: 31316 ft | SPD: 430 kt | TEMP: -55 C | FUEL: 84.9%
TIME: 2025-04-11T00:22:53Z | ALT: 32315 ft | SPD: 477 kt | TEMP: -41 C | FUEL: 98.4%
TIME: 2025-04-11T00:22:53Z | ALT: 31982 ft | SPD: 468 kt | TEMP: -41 C | FUEL: 90.9%
TIME: 2025-04-11T00:22:53Z | ALT: 39332 ft | SPD: 430 kt | TEMP: -46 C | FUEL: 98.1%
TIME: 2025-04-11T00:22:53Z | ALT: 30788 ft | SPD: 485 kt | TEMP: -48 C | FUEL: 95.6%
TIME: 2025-04-11T00:22:53Z | ALT: 30385 ft | SPD: 515 kt | TEMP: -37 C | FUEL: 47.8%
TIME: 2025-04-11T00:22:53Z | ALT: 33015 ft | SPD: 454 kt | TEMP: -48 C | FUEL: 30.6%
TIME: 2025-04-11T00:22:53Z | ALT: 29856 ft | SPD: 445 kt | TEMP: -55 C | FUEL: 74.0%
TIME: 2025-04-11T00:22:53Z | ALT: 31960 ft | SPD: 461 kt | TEMP: -50 C | FUEL: 33.6%
TIME: 2025-04-11T00:22:53Z | ALT: 37564 ft | SPD: 464 kt | TEMP: -51 C | FUEL: 24.1%
TIME: 2025-04-11T00:22:53Z | ALT: 40255 ft | SPD: 496 kt | TEMP: -39 C | FUEL: 55.2%
TIME: 2025-04-11T00:22:53Z | ALT: 32924 ft | SPD: 520 kt | TEMP: -50 C | FUEL: 95.3%
TIME: 2025-04-11T00:22:53Z | ALT: 29475 ft | SPD: 426 kt | TEMP: -37 C | FUEL: 69.5%
TIME: 2025-04-11T00:22:53Z | ALT: 36839 ft | SPD: 424 kt | TEMP: -43 C | FUEL: 72.8%
TIME: 2025-04-11T00:22:53Z | ALT: 39617 ft | SPD: 422 kt | TEMP: -34 C | FUEL: 68.1%
TIME: 2025-04-11T00:22:53Z | ALT: 40249 ft | SPD: 514 kt | TEMP: -37 C | FUEL: 48.2%
TIME: 2025-04-11T00:22:53Z | ALT: 35635 ft | SPD: 520 kt | TEMP: -45 C | FUEL: 50.0%
TIME: 2025-04-11T00:22:53Z | ALT: 29825 ft | SPD: 451 kt | TEMP: -48 C | FUEL: 84.1%
TIME: 2025-04-11T00:22:53Z | ALT: 30002 ft | SPD: 450 kt | TEMP: -47 C | FUEL: 76.3%
TIME: 2025-04-11T00:22:53Z | ALT: 40856 ft | SPD: 515 kt | TEMP: -37 C | FUEL: 25.3%
TIME: 2025-04-11T00:22:53Z | ALT: 30250 ft | SPD: 478 kt | TEMP: -31 C | FUEL: 96.0%
TIME: 2025-04-11T00:22:53Z | ALT: 37119 ft | SPD: 481 kt | TEMP: -33 C | FUEL: 81.9%
TIME: 2025-04-11T00:22:53Z | ALT: 30685 ft | SPD: 508 kt | TEMP: -47 C | FUEL: 88.4%
TIME: 2025-04-11T00:22:53Z | ALT: 40605 ft | SPD: 470 kt | TEMP: -47 C | FUEL: 85.0%
TIME: 2025-04-11T00:22:53Z | ALT: 34959 ft | SPD: 474 kt | TEMP: -33 C | FUEL: 27.1%
TIME: 2025-04-11T00:22:53Z | ALT: 40956 ft | SPD: 460 kt | TEMP: -50 C | FUEL: 28.1%
TIME: 2025-04-11T00:22:53Z | ALT: 35228 ft | SPD: 515 kt | TEMP: -31 C | FUEL: 83.3%
TIME: 2025-04-11T00:22:53Z | ALT: 31043 ft | SPD: 462 kt | TEMP: -52 C | FUEL: 75.3%
TIME: 2025-04-11T00:22:53Z | ALT: 39604 ft | SPD: 477 kt | TEMP: -33 C | FUEL: 98.1%
TIME: 2025-04-11T00:22:53Z | ALT: 36092 ft | SPD: 486 kt | TEMP: -41 C | FUEL: 49.3%
TIME: 2025-04-11T00:22:53Z | ALT: 38401 ft | SPD: 433 kt | TEMP: -40 C | FUEL: 24.4%
TIME: 2025-04-11T00:22:53Z | ALT: 29041 ft | SPD: 499 kt | TEMP: -37 C | FUEL: 57.2%
TIME: 2025-04-11T00:22:53Z | ALT: 32436 ft | SPD: 467 kt | TEMP: -35 C | FUEL: 94.9%
TIME: 2025-04-11T00:22:53Z | ALT: 35421 ft | SPD: 510 kt | TEMP: -55 C | FUEL: 44.7%
TIME: 2025-04-11T00:22:53Z | ALT: 38723 ft | SPD: 497 kt | TEMP: -34 C | FUEL: 89.5%
TIME: 2025-04-11T00:22:53Z | ALT: 32065 ft | SPD: 452 kt | TEMP: -49 C | FUEL: 25.3%
TIME: 2025-04-11T00:22:53Z | ALT: 40080 ft | SPD: 518 kt | TEMP: -38 C | FUEL: 95.4%
TIME: 2025-04-11T00:22:53Z | ALT: 33561 ft | SPD: 497 kt | TEMP: -49 C | FUEL: 49.0%
TIME: 2025-04-11T00:22:53Z | ALT: 35443 ft | SPD: 448 kt | TEMP: -34 C | FUEL: 35.9%
TIME: 2025-04-11T00:22:53Z | ALT: 40889 ft | SPD: 489 kt | TEMP: -40 C | FUEL: 56.3%
TIME: 2025-04-11T00:22:53Z | ALT: 30851 ft | SPD: 430 kt | TEMP: -41 C | FUEL: 58.1%
TIME: 2025-04-11T00:22:53Z | ALT: 40597 ft | SPD: 424 kt | TEMP: -30 C | FUEL: 73.8%
TIME: 2025-04-11T00:22:53Z | ALT: 39288 ft | SPD: 495 kt | TEMP: -32 C | FUEL: 57.8%
TIME: 2025-04-11T00:22:53Z | ALT: 35843 ft | SPD: 439 kt | TEMP: -53 C | FUEL: 46.9%
TIME: 2025-04-11T00:22:53Z | ALT: 37906 ft | SPD: 432 kt | TEMP: -33 C | FUEL: 47.0%
TIME: 2025-04-11T00:22:53Z | ALT: 36793 ft | SPD: 476 kt | TEMP: -45 C | FUEL: 47.0%
TIME: 2025-04-11T00:22:53Z | ALT: 38084 ft | SPD: 432 kt | TEMP: -30 C | FUEL: 41.7%
TIME: 2025-04-11T00:22:53Z | ALT: 38505 ft | SPD: 452 kt | TEMP: -52 C | FUEL: 35.5%
TIME: 2025-04-11T00:22:53Z | ALT: 40718 ft | SPD: 511 kt | TEMP: -43 C | FUEL: 20.5%
TIME: 2025-04-11T00:22:53Z | ALT: 38304 ft | SPD: 434 kt | TEMP: -30 C | FUEL: 85.9%
TIME: 2025-04-11T00:22:53Z | ALT: 34023 ft | SPD: 425 kt | TEMP: -50 C | FUEL: 55.9%
TIME: 2025-04-11T00:22:53Z | ALT: 31811 ft | SPD: 473 kt | TEMP: -31 C | FUEL: 54.3%
TIME: 2025-04-11T00:22:53Z | ALT: 32007 ft | SPD: 461 kt | TEMP: -34 C | FUEL: 99.6%
TIME: 2025-04-11T00:22:53Z | ALT: 31243 ft | SPD: 505 kt | TEMP: -33 C | FUEL: 36.4%
TIME: 2025-04-11T00:22:53Z | ALT: 39423 ft | SPD: 481 kt | TEMP: -41 C | FUEL: 80.3%
TIME: 2025-04-11T00:22:53Z | ALT: 31056 ft | SPD: 430 kt | TEMP: -55 C | FUEL: 89.9%
TIME: 2025-04-11T00:22:53Z | ALT: 34984 ft | SPD: 493 kt | TEMP: -48 C | FUEL: 80.9%
TIME: 2025-04-11T00:22:53Z | ALT: 36775 ft | SPD: 492 kt | TEMP: -43 C | FUEL: 73.9%
TIME: 2025-04-11T00:22:53Z | ALT: 31304 ft | SPD: 471 kt | TEMP: -33 C | FUEL: 20.5%
TIME: 2025-04-11T00:22:53Z | ALT: 35445 ft | SPD: 432 kt | TEMP: -53 C | FUEL: 55.2%
TIME: 2025-04-11T00:22:53Z | ALT: 38663 ft | SPD: 496 kt | TEMP: -41 C | FUEL: 23.1%
TIME: 2025-04-11T00:22:53Z | ALT: 32880 ft | SPD: 516 kt | TEMP: -51 C | FUEL: 75.9%
TIME: 2025-04-11T00:22:53Z | ALT: 34518 ft | SPD: 519 kt | TEMP: -52 C | FUEL: 46.5%
TIME: 2025-04-11T00:22:53Z | ALT: 39599 ft | SPD: 502 kt | TEMP: -52 C | FUEL: 84.6%
TIME: 2025-04-11T00:22:53Z | ALT: 29360 ft | SPD: 446 kt | TEMP: -34 C | FUEL: 75.0%
TIME: 2025-04-11T00:22:53Z | ALT: 31596 ft | SPD: 453 kt | TEMP: -43 C | FUEL: 24.5%
TIME: 2025-04-11T00:22:53Z | ALT: 39143 ft | SPD: 506 kt | TEMP: -34 C | FUEL: 67.0%
TIME: 2025-04-11T00:22:53Z | ALT: 34433 ft | SPD: 462 kt | TEMP: -42 C | FUEL: 79.2%
TIME: 2025-04-11T00:22:53Z | ALT: 36678 ft | SPD: 499 kt | TEMP: -52 C | FUEL: 87.6%
TIME: 2025-04-11T00:22:53Z | ALT: 33915 ft | SPD: 488 kt | TEMP: -55 C | FUEL: 45.6%
TIME: 2025-04-11T00:22:53Z | ALT: 39571 ft | SPD: 483 kt | TEMP: -41 C | FUEL: 61.5%
TIME: 2025-04-11T00:22:53Z | ALT: 29377 ft | SPD: 495 kt | TEMP: -48 C | FUEL: 60.9%
TIME: 2025-04-11T00:22:53Z | ALT: 34310 ft | SPD: 470 kt | TEMP: -39 C | FUEL: 50.1%
TIME: 2025-04-11T00:22:53Z | ALT: 35212 ft | SPD: 473 kt | TEMP: -39 C | FUEL: 61.2%
TIME: 2025-04-11T00:22:53Z | ALT: 40597 ft | SPD: 513 kt | TEMP: -52 C | FUEL: 74.7%
TIME: 2025-04-11T00:22:53Z | ALT: 31436 ft | SPD: 509 kt | TEMP: -47 C | FUEL: 50.4%
TIME: 2025-04-11T00:22:53Z | ALT: 33195 ft | SPD: 436 kt | TEMP: -55 C | FUEL: 91.6%
TIME: 2025-04-11T00:22:53Z | ALT: 32496 ft | SPD: 520 kt | TEMP: -38 C | FUEL: 54.4%
TIME: 2025-04-11T00:22:53Z | ALT: 40024 ft | SPD: 457 kt | TEMP: -45 C | FUEL: 76.6%
TIME: 2025-04-11T00:22:53Z | ALT: 29074 ft | SPD: 471 kt | TEMP: -45 C | FUEL: 47.5%
TIME: 2025-04-11T00:22:53Z | ALT: 34464 ft | SPD: 509 kt | TEMP: -48 C | FUEL: 93.3%
TIME: 2025-04-11T00:22:53Z | ALT: 38056 ft | SPD: 443 kt | TEMP: -55 C | FUEL: 45.5%
TIME: 2025-04-11T00:22:53Z | ALT: 35779 ft | SPD: 480 kt | TEMP: -33 C | FUEL: 85.4%
TIME: 2025-04-11T00:22:53Z | ALT: 29289 ft | SPD: 427 kt | TEMP: -52 C | FUEL: 40.8%
TIME: 2025-04-11T00:22:53Z | ALT: 33883 ft | SPD: 514 kt | TEMP: -35 C | FUEL: 55.3%
TIME: 2025-04-11T00:22:53Z | ALT: 33335 ft | SPD: 428 kt | TEMP: -33 C | FUEL: 22.0%
TIME: 2025-04-11T00:22:53Z | ALT: 35103 ft | SPD: 491 kt | TEMP: -36 C | FUEL: 40.2%
TIME: 2025-04-11T00:22:53Z | ALT: 29887 ft | SPD: 487 kt | TEMP: -31 C | FUEL: 87.6%
TIME: 2025-04-11T00:22:53Z | ALT: 40163 ft | SPD: 437 kt | TEMP: -48 C | FUEL: 27.5%
TIME: 2025-04-11T00:22:53Z | ALT: 31263 ft | SPD: 424 kt | TEMP: -54 C | FUEL: 68.2%
TIME: 2025-04-11T00:22:53Z | ALT: 34066 ft | SPD: 472 kt | TEMP: -52 C | FUEL: 38.2%
TIME: 2025-04-11T00:22:53Z | ALT: 40240 ft | SPD: 429 kt | TEMP: -45 C | FUEL: 55.8%
TIME: 2025-04-11T00:22:53Z | ALT: 38389 ft | SPD: 485 kt | TEMP: -30 C | FUEL: 30.4%
TIME: 2025-04-11T00:22:53Z | ALT: 40891 ft | SPD: 508 kt | TEMP: -43 C | FUEL: 27.6%
TIME: 2025-04-11T00:22:53Z | ALT: 35724 ft | SPD: 429 kt | TEMP: -49 C | FUEL: 62.2%
TIME: 2025-04-11T00:22:53Z | ALT: 36346 ft | SPD: 428 kt | TEMP: -53 C | FUEL: 44.1%
TIME: 2025-04-11T00:22:53Z | ALT: 37097 ft | SPD: 436 kt | TEMP: -53 C | FUEL: 97.6%
TIME: 2025-04-11T00:22:53Z | ALT: 36493 ft | SPD: 497 kt | TEMP: -42 C | FUEL: 69.1%
TIME: 2025-04-11T00:22:53Z | ALT: 29572 ft | SPD: 490 kt | TEMP: -55 C | FUEL: 93.7%
TIME: 2025-04-11T00:22:53Z | ALT: 40200 ft | SPD: 422 kt | TEMP: -31 C | FUEL: 91.4%
TIME: 2025-04-11T00:22:53Z | ALT: 40000 ft | SPD: 501 kt | TEMP: -48 C | FUEL: 96.7%
TIME: 2025-04-11T00:22:53Z | ALT: 35841 ft | SPD: 449 kt | TEMP: -33 C | FUEL: 94.9%
TIME: 2025-04-11T00:22:53Z | ALT: 36847 ft | SPD: 450 kt | TEMP: -44 C | FUEL: 50.9%
TIME: 2025-04-11T00:22:53Z | ALT: 34622 ft | SPD: 455 kt | TEMP: -54 C | FUEL: 56.8%
TIME: 2025-04-11T00:22:53Z | ALT: 38986 ft | SPD: 494 kt | TEMP: -50 C | FUEL: 56.8%
TIME: 2025-04-11T00:22:53Z | ALT: 39276 ft | SPD: 519 kt | TEMP: -47 C | FUEL: 61.8%
TIME: 2025-04-11T00:22:53Z | ALT: 33840 ft | SPD: 435 kt | TEMP: -30 C | FUEL: 75.9%
TIME: 2025-04-11T00:22:53Z | ALT: 39978 ft | SPD: 463 kt | TEMP: -40 C | FUEL: 58.7%
TIME: 2025-04-11T00:22:53Z | ALT: 36821 ft | SPD: 461 kt | TEMP: -34 C | FUEL: 27.3%
TIME: 2025-04-11T00:22:53Z | ALT: 31250 ft | SPD: 480 kt | TEMP: -37 C | FUEL: 68.2%
TIME: 2025-04-11T00:22:53Z | ALT: 33137 ft | SPD: 506 kt | TEMP: -32 C | FUEL: 31.8%
TIME: 2025-04-11T00:22:53Z | ALT: 34279 ft | SPD: 447 kt | TEMP: -39 C | FUEL: 70.0%
TIME: 2025-04-11T00:22:53Z | ALT: 38614 ft | SPD: 520 kt | TEMP: -47 C | FUEL: 73.7%
TIME: 2025-04-11T00:22:53Z | ALT: 38229 ft | SPD: 489 kt | TEMP: -36 C | FUEL: 29.3%
TIME: 2025-04-11T00:22:53Z | ALT: 37294 ft | SPD: 472 kt | TEMP: -45 C | FUEL: 72.3%
TIME: 2025-04-11T00:22:53Z | ALT: 39850 ft | SPD: 477 kt | TEMP: -35 C | FUEL: 52.6%
